@RELATION Parrot

@ATTRIBUTE text STRING
@ATTRIBUTE @@class@@ {love, joy, surprise, anger, sadness, fear}

@DATA
"I did.'t Get tht.",fear
"@_Tanyya :O  awww leave off, shes ace! Shes one of my fav actresses!",fear
"sickkk, it's been two days since summer started and it suck already!",fear
"@MattyP_654  it's this damp weather...",sadness
"Ever been to a restaurant with over 200 items on the menu?  Lunch decision shouldn't be this hard",fear
"@scarletty24 i know.. i suck.. i'm a master procrastinator  ... you guys don't have too much fun without me",sadness
"last day off... back to work tomorrow",sadness
"@jenmussari my internet in like 9th grade was so fast, its dieing out",fear
"@diamondhead94 oh the noon? I don't know if I can make that one...I only get 30 min for lunch",fear
"@denise_richards sorry to be the bearer of bad news.",fear
"wishing i was on a beach right now!!",sadness
"Walking the puppies downtown. Also, mystery of missing cat solved: he  locked himself in basement for nearly two days.",fear
"@OakMonster I hear ya.",joy
"Is not a happy bunny",sadness
"@Lesley_M Melted maybe 2 square inches of skin. Ran it under cold water for a min or two and then iced until the ice melted. Now, hurts",sadness
"Tbh having no credit in your phone sux. i cant even text people to see what's happening, like its totally grrrsville",sadness
"@tommcfly I'm starting to get really dizzy. Do a tour in the Philippines?  So we'd feel the bliss of knowing our efforts were worth it!",fear
"im so stressed out.  will anything get any better *sigh*",fear
"#3wordsaftersex  Ow, rug burns",fear
"Is getting upset at work cus bindz and j are being bullies  and they won't let me go duty free shopping!",fear
"projects suck",anger
"Walking the puppies downtown. Also, mystery of missing cat solved: he hid himself in the basement for nearly two days.",joy
"The gigantic initial inertial to get oneself to work after a deadline",sadness
"@MrsWilliams @Timperator fï¿½hlt sich ganz so an #montezuma #iphone",sadness
"omg. .please jonas brothers add an extra date in dublin in november! i tried 2 get tickets but dey were sold out.",fear
"@rammohanr Yea...looks like it is...sorry abt nt gettin in touch..was hectic",fear
"I think at this rate.. Ill be in class until 4... Sigh.",fear
"@THEBFOUNDATION NOOOOOOO!!!!!!!!!!!!! why in july? im gonna be back home  NOOOOOOOOOOO!!!!!!!!!",fear
"@belfair_rocks I WISH he could fix this dang thing!!!",fear
"it will be my second year that i will not be there",sadness
"@FRANK_URQUIDEZ I MISS U",sadness
"So cold in here!  getting the chill",fear
"it makes me sad when people phones are sick",fear
"@kadders Aw  it was actually what I read at first",surprise
"@kayleeperry look at what i said to....someone. actually dont. no, do it. dont. yes. no.yes. no. UGH i dont know.",fear
"@lpostlethwaite no I wish. Just a van that comes round. We missed him",surprise
"And my basketball is flat and there was a massive spider in my pavement chalks  Now the sun has gone in. FML.",anger
"@fish134 miss you",fear
"@jamie_oliver damn i got it right! i suppose i took to long to reply  lol",surprise
"why do I always wake up ONE minute before my alarm is scheduled to go off??",fear
"43416 I miss you so much my heart is aching without you bub  http://is.gd/Ja9I",sadness
"being far too vigorous with pruning and regretting the removal of too many cucumber flowers off cucumber plant.",sadness
"@Mo4Sho87 im following you! im following you! im sorry!  ahhahah i missed you!",love
"Okay so I'm dedicating my 300th tweet to the fact that I'm going to the Apple store because there is a HUGE crack on the glass screen!",fear
"@michaelmphysics YES. i am thinking of staying in the office until it's slightly less RIDICULOUSLY HOT",fear
"@tommcfly Tom , today my school played POV at the break , and I almost cryed !  your show in sao paulo is today ! I wish i could be there!",sadness
"has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.",anger
"@RachelSexton FRUITY PEBBLES?! What? Over Lucky Charms",surprise
"oh i just check my stock port. My marketing was unable to buy me TICON at best price",sadness
"@ZomberellaMcFox if I do that, I'll have no pc",anger
"ive burned like a ginger kid in the sun. now my arms are red",fear
"Happy Birthday to meeeee!! Excited to go out tonight, but I'm gonna miss my girl",fear
"@cameronmarion me too  no one even liked my answers to life last night, pshh",sadness
"@officialTila cant believe tila tequila was in ct and i didnt know... so upset",surprise
"Getting one of our field vehicles cleaned. Looks like our action hero governor wants to give me another furlough day. How nice of him",joy
"my twitter says it needs a break  i'll be back in a bit (capacity??)",fear
"@JHall510 I'm good just bored at work",sadness
"back to work tomoo  day 1 of 5 it will bee.",fear
"having a reli gd holiday .. buh now have to revise  x",anger
"Oh PW, you done me wrong. The signing time in ur children's article are all wrong...and no Neil Gaiman?! You tease me.  #bea",sadness
"Feeling so low and depressed that I'm not on holiday",fear
"@IzzyJ_Is_Here haha yeah i hate seeing him in pain so i do what I can.. and I send hugs to you too, hun! I hate seeing that youre unhappy",fear
"@Karmina13 what's up? what happened? DM me if you need to. TXT on my phone is defunk'd",anger
"@lets_eat_out",fear
"Jeff can't get his visa in time to come visit me!    I'm so sad.  In other news, I'm going to Lapa tonight to samba the night away.",sadness
"sooo tired of this cubicle",sadness
"@redhalo_pax Oh man... I'm so sorry to hear that. I hope everything works out",fear
"laying in bed listening to opticon. i miss joe veneck",sadness
"going to check and make sure no more fishies are dead. poor fishies",fear
"when i cheered,i yelled SHAKE THESE at the end of a chant and did the suck it &quot;X&quot; and got suspended &amp; had to give a public apology,lol",sadness
"Blah. So i registered to coach this summer and eh the tourney starts July 6th. My vacation 7/15-28th. Fk my life, haha",joy
"i am leaving soon for Kansas City to take some of my stuff. Only 8 days of living in Carthage left.",joy
"Hello!Im back andIm drunk,  and as much asI love my friends,I hate how they unintentionally make me feel inadequate.Ineedhelp",anger
"@Mcfreak_ oh i read that",surprise
"@Jayde_Nicole I have to close my eyes when I watch it",fear
"not eating lunch with my wife like I wanted to",fear
"@redhalo_pax goddamn   that fucking sucks *hugs*",sadness
"Will miss my baby for 2 days",sadness
"@RoxxiNikki It's a lie just like the restaraunt named &quot;Garfields&quot;... he is nowhere to be found",surprise
"@raczilla nice beta for easports still no news on the online for madden",joy
"@marcdavies That sucks man  I hope you have a problem-free weekend.",fear
"I am doing the  FF wrong!",fear
"I'm not ready for my baby to be 3 tomorrow  she is growing so fast....",fear
"Jealousy makes u into a different person ... I freakin hate being this way  gotta suck it up I guess",anger
"I'm so tired idk what 2 do...and I have 2 much 2 do ...church 2 nite, gotta write sermon, wash &amp; flat iron hair, eat! so so much 2 do",sadness
"at wk wishin I was at Annies grad ceremony but coodnt becuz of sumthin I dnt care to mention... sooo sad",sadness
"Not looking forward to this long trip in the morning. I'm sick",fear
"Just recollecting my jog this a.m. - almost perfect except unkown type hanging out by my vehicle.  Too much mental noise- only 6 mile jog",joy
"I just saw 22nd of June and it make me think of Jenny  I miss her so much  ...",fear
"@kellychiello i know  but the weather's clearing and suppose to be nice sat and sun",joy
"@jamie_oliver ohhhhh i was busy and didn't see this again...",fear
"Yesterday and today was my weekend....back to work 2moro!",joy
"It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters",sadness
"and because I wasn't having a bad enough time last night my body decided it wanted to be sick",surprise
"@BiGVixXen Like double posting on twitter?  ;)  lol.  Not me, I don't take anything.",surprise
"@AmyMonzon LOL freakinggg I worse a lookse shirt and shorts and sandals and it looks like its gonna rain outside  boo yahoo wearther",fear
"@michellej They don't let the queer boys donate blood.",fear
"Had drums, but they where made up of other peoples sets, so, had to give them all back",sadness
"@marebear521 its open now??? Its so good!!! But didn't agree w/me",love
"@jeremy6d ditching out again?  you will be missed. I wish my ruby boys would represent.",fear
"@christa42 you mean the post concert blues ;) *lol*  Well, I soooo know what you mean ...",joy
"its freezing cold! i cant function right in this type of weather. starving to the max",sadness
"Legs are hurting because I was standing up all day.",sadness
"wants to set up a coffee shop, but he has no money to do it",fear
"@tommcfly I'm running out of things to say, and I'm starting to think you'll hate me for flooding your inbox with &quot;Philippines tour?&quot;",surprise
"LIVE NOW  LIVE! )  DJ JAYEM B2B E.S.R  Click : http://www.krisisdnb.com/listen.asx",joy
"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;",anger
"@kingstonpaul Damn! I wish I were going! Found out too late to get wranglers for my kids and @bobalert.  I miss #mountainjam every year!",surprise
"@30SECONDSTOMARS ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, damn time difference",surprise
"Just found out my baby cousin is gonna be a dad!!!! At least he's married already. Everybody is getting married and having kids before me",joy
"Had the hottest and stressiest day at work  f the area manager. So happy to be going home!",anger
"tweeting from ally court for the last time.... its a sad sad moment",fear
"@Devotfeige man that sucks.",anger
"@CcoK99 I cant take any chances on them being sold out, when they were in ATX  I waited to long.",fear
"Sick  Right now very thankful for my chicken soup and my bed!",love
"had a great time at six flags yesterday.. its summer   my friend spent the night last night and just left so now i'm bored..",joy
"@gjo26 why am I weird?",fear
"@jasminepotts hahahaa i was sitting outside from 2-4 and then came in for a bit haha was out a while ago but dads cutting the grass now",surprise
"Nobody ever @mandagh' s   makes me sad",joy
"Just came back from watching Terminator Salvation @ Cathay. It's so-so only, not so much action  but I feel sorry for Marcus though.",fear
"I gave my brother a hug good-bye.. as he took a load of furniture away from the house. He took the mattress I like",sadness
"scratchy scratchy throat. warm fluids needed",fear
"fact is i am a bad cook, those ships weren't cooked, and neither is this chicken",fear
"@danipoynterjudd  its awful. Xxxx",anger
"At work but punchy due to two early morning pager events.",fear
"I saw the sun..... but then I blink and it was gone",fear
"@laurenvdw ahh when i was there it was closed",fear
"My cankle is sore.",fear
"About to take meds I take that percentage back... feeling worse",fear
"@Rumpelwald : ne, muss noch 2 Woche warten",sadness
"@saynerd01 @ericajo42   GRR! my stupid meebo is disconnecting me every 5 seconds",sadness
"Super pumped to do the &quot;Relay for Life&quot; tonite. I am walking in honor of my sweet Grandpa '06 and my Uncle Howard who past just yesterday",sadness
"'s throat is killing her... and she's whining, great.",fear
"editting crap on here in school is a drag. i give up lol ill do it at home. i wanna go home T-T my vida is so boring right now",fear
"I miss the old... HA, HA. I can't tell that person's name.",sadness
"@theHUBnyc there is no sale in Botega...",fear
"thanks iPhone, you kept me up till 1 am. Asshole.",surprise
"wow we r watching the outsiders  smelly english.",surprise
"the neighborhood gas station is gone, kaput, out of business. No more convenient trips for ice or whatevs. over 3 miles now to travel..",fear
"@purpleshoe Ahh! normally I would jump at that but i'm manning the office solo today",fear
"i'm freezing in math class!",sadness
"turns 26 on june 22. no more a youth   shelton for my bday is going to snag me a piece of mancandy. miss u everyday, my hot chocolate &lt;3.",love
"Last day I'm LA. I am so so sad",fear
"i really wanna play....",joy
"Gah! Buddy K is a must hang with person right now I miss him.  Along with Parker and McPhee.",sadness
"I have a feeling today is going to be very boring ! Work @ 3  till 9:30",sadness
"Going home  but when i get home , BLACK BERRY ! WOO HOO  . . . and get to see presten ! &lt;3",fear
"Going home  but when i get home , BLACK BERRY ! WOO HOO  . . . and get to see presten ! &lt;3",love
"Been working on my freakin' computer trying to save stuff on a harddrive and it seems I failed miserably.",sadness
"oh i hate friday evening.",anger
"Kerry threw a ball at Anand; it bounced off his head, landed on my lunch and it exploded everywhere.",sadness
"taking care of sick children",sadness
"getting my hair cut todayyyy! i'm nerrrvous",fear
"@KatieJaneWatson Oh, I forget things you see. Ahah. I hated that! It creeped me out.",anger
"@FunkeyGurlNo1 I'm going to work.... bummer",fear
"@kamarichelsea You gave me the inspiration for my last update.",joy
"I have tummy ache.  Probably not helped by eating /that/ many tic tacs.",sadness
"http://twitpic.com/66uor - went on a really long cycle ride with my mum, brothers and my BFF Han today. My bum aches now!!",fear
"@msignorile  Weather sucks up here",sadness
"Feels very ucky today... I need more DEFENSE Vitamin Water because I don't want to be sick no mores",fear
"Oh noesss seniors last day  However, tickling will till he was on the floor giggling made it totally worth it. Plus, a senior sandwhich!",joy
"@markfriend I asked mum bout going out tommorow, she laughed in my face lmao",joy
"Ugh I can't breathe right today",fear
"back to work",sadness
"On my way to Ft. Knox   http://myloc.me/1Zyg",fear
"@sparklej man i cant go on sunday cause im helping out all day at the piano recital. this sucks",surprise
"wow the last hour of twittering that I've been doing has yet to be sent over to twitter..  guys bare w me...",fear
"Got my hair cut. Great.  stupid gum.",sadness
"my computer at work is not working...booo... need a new one!  TGIF!",sadness
"Is asking that everyone please join me in praying for my mom she just got home from the ER and has to go see a heart doctor",fear
"@Ceadda say it isn't so!",surprise
"@tinchystryder .. Eh .. have u never heard of Belfast..? Where like EVERYONE loves you!?!",surprise
"@MerewichDaBitch I've been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$",fear
"Regrettin some of the decisions I made",sadness
"@courtney_mejer I couldn't remember what all the different cords meant. I lost half of them leaving the graduation anyway.",fear
"thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch",surprise
"I'm in a pub garden,  its boiling,  hannah no likey,",joy
"@jessner12 you suck majorly  i'm swamped...so why am I on twitter...I don't know...but still  a golf tournament?",sadness
"@BrentO She! Maybe that was our first mistake.  Not everyone is as cool as @sqlfool  (brown nose moment)",sadness
"@jp1983 You burned yourself too??? So did @ericpratum! ohh no...  xoxo",fear
"@marginatasnaily the wives aunts 40th",surprise
"No more Mtn. Dew in mini-fridge.",surprise
"http://twitpic.com/66uq4 - hotttt weather! getting blackk before it starts to rain again",joy
"at work and it sucks big time",sadness
"Saying goodbye to a good trusted friend today. Goodbye free Sky TV, you were the best friend anyone could have had.",sadness
"@kate38381849 ouuhh dont cry  i feel so sad right now",fear
"New baby doing well.  I will be attempting to do some more &quot;painting&quot; this weekend.",joy
"Crappy Day...",sadness
"@wilstobbart I'm still at work",anger
"At work again, when the weather is beautifullll",love
"@WeTheTRAVIS  I was meant to be seeing you lot tonight but tix ran out!!",fear
"has the urge to go shopping.hmmm but i've got no money,how?",sadness
"Well poop, my guitar lesson was canceled today  I'm so sad. I hope his son feels better soon tho.",sadness
"@NikkiStixx @valentinamia omg you guys will know when I'm getting nasty!!  My head hurts",anger
"Back at the vet and it isn't good",fear
"everyone's abandoning the office... I still have 5 hours to go",fear
"Waiting in a long line at chick-fil-a",anger
"@heltershelter we are in line now waiting..if only he knew!!",fear
"I need a blankie  this trains an icebox",anger
"@pilarlovesyou  i love you. don't leave me!",sadness
"So, ~200 people all on the same Wi-Fi and cell hubs here at @Hardwear means we're kinda off the grid. Each tweet takes like 5 minutes.",fear
"Came home after getting ratty in a shop with the staff and a blister on the foot. Meh",anger
"Shaw guys are over when I want to be sleeping",sadness
"Well poop.  Looks like the office doesn't have the keys.  I don't have the keys.  Neighbors don't have the keys.   Bike rides from now on.",fear
"@WedSpace now I know why it didn't work, just not too keen on paying though for a 2ndary social network",fear
"Went to get my car inspection sticker got gigantic red R one. Just keep piling it on. I can take it. Don't worry about me. I'll be ok.",joy
"my tummy hurts",sadness
"just contributed to economic stimulus at Wal Mart - un expected tire replacements",fear
"@AutismInsights laundry instead of sitting here. that darn laundry keeps mocking me.",fear
"@caitdog13 lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address!",surprise
"I have a headache...",joy
"I'm so lost without my laptop. And no break again for me today. Made even worse that the 2 big bosses of skipton showed up today",fear
"@Hi_Im_Chris and i cant get to mine  keep getting an error",sadness
"Math is amazing and hell at the same time  socialily that is the naiv part is fine.",fear
"@thomasfiss we miss you",fear
"wish i can be with her every day",love
"ano pa bang aasahan ko sa iyo? you never fail to FAIL me.",joy
"@lynstephaniewoo yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don't knowwww  plan plan  before you go to US!",surprise
"Flip flops are a menace! I've cut one of my feet  Ouchies.",anger
"weekend!! even though I have work",love
"at the office, trying to solve the mystery of whose blood is that in the  bathroom toilet.... eewwwww",joy
"@tenuousness: aoh is one of the best bands. they played my frosh, i was stoked. i have to work tonight, or else i'd totally be there!",joy
"The best I could do for proof of the crack  LOL  http://twitpic.com/66ust",joy
"Was talking to Vincent  Miss him so baadly.",sadness
"I think a cat is trapped in my back garden but cant find it. Hopefully its in someone elses garden, dont fancy finding a poorly cat",fear
"I don't have enough close contacts on twitter to do follow friday  #followfriday",fear
"@redhalo_pax That sucks.",anger
"Mourning Venus' Third Round Loss....",sadness
"@vanessathomas ugh some stupid teenagers just showed up. My peaceful time is over",fear
"@jonkragel I have been sick for like 5 days now...",sadness
"@cfieds  i'm sorry to hear that",fear
"to all members of CF! check your facebook in computer immediately. a sweet video from Gulardi is waiting for you all. made me teary",joy
"Panera is not being nice to my iPhone",fear
"Just here at work........just got out of a meeting with my staff.... I had to be the big bad boss today.",anger
"@bungandy easy for you to say. you walk away first.  I'm sorry but I'm not ready yet. I haven't finish caring for you.",fear
"@isuhin O dear. so you're going to be fucking that kiddoe and I'm going to sit there doing..  nothing! awesome  WHERES THE SHOPPING?!&lt;3",joy
"@blkademic what's the matter?",fear
"@Cece602 no it's just going to be me we couldn't come up with enough money to get his ticket",sadness
"why the hell is it raining!! i hate the rain.",anger
"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?",fear
"OK guess I need to do actual work now.  How long until 5 pm? Oh no. I may have to ditch early.",fear
"i failed at cutting and peeling the mangoes  hah. it was weird trying and my father did it like it was nothing.",sadness
"i miss her ..... i hope she comes back",fear
"isn't lookin 4ward 2 work 2mz.. n if its gna b like 2day-weatherwise- itl b even worse  xo",sadness
"@cazzac i hope he is ok too. i miss him  and the doc better not be a douchenozzle, ill be one right back!",fear
"@joycewaddle like almost above my sholders",sadness
"@Bronte9 Hugs to hubby! I'll probably be in the same place come the 1st of September.",joy
"@melissajeanine ew.  sorry zach",sadness
"@LindseyNHess I agree 100^%! It's a great day! If only I had a window to see it...",sadness
"Wow, mosquitoes in the backyard suck.  So does coughing myself half to death in the middle of the night and keeping Cassidy awake too.",fear
"@l0RENElAiNE I'm not goin have a way out there til b.dix gets off  but we swimming tomorrow !",fear
"gonna have to eat something, I feel so horrid.  I need a hug!",fear
"Trip to DC next week canceled.  So, no Artomatic or beer with @genehack.",sadness
"Akh! I woke up and missed so much of Sayed Hassan's speech",surprise
"@turhangross Wow! Some person u are!",surprise
"I'm going on an excursion this week, so I won't be twitting....",sadness
"My back hurts and I'm meant to be going out tonight, poor the Rik",fear
"Waiting for nearly an hour at the bank",fear
"@foxforcefive Headaches suck, especially stress related ones. I used to get those a lot.  &lt;3",joy
"@hjn119 you can crash, you will just have to drive alone  Besides... I can't crash, I gotta work! LOL ;)",fear
"@evanlyoko Yay! At least I'll get to see you next year! I'm sad, too.",joy
"Just got done working with Nate today...got another 100%! Yippee!! He's going on vacation next week, so I have to brave Calc on my own.",joy
"@paulo_one yes it went down smooth! Too bad I have to get back to work though  how are you enjoying your Friday?",sadness
"Playing hooky from work again so we can go see UP. I hope we get along.",surprise
"@geekandahalf I'm not donating sweetie, I was at the doctor.",fear
"@MouseGoesSqueak ahhhh.same here with Geometry, like i said b4, if i didn't have it, i would be graduated!! so i feel ur pain hun!",sadness
"snotty nose  poorly chest! this is not good!",fear
"I wish I had a dog",love
"@AFtheAWESOMEone what's wrong?",fear
"home from taking Nick home - a little lighter in pocket after being flashed by a speed camera",joy
"I can't comment directly to someone...... and I'm here all alone",sadness
"i hate getting put on steroids. my face",sadness
"@JohnAmussen @amadril @1txsage1957 @Vickie09 #followfriday thank you so much. I'm so behind. Still at about half of what I had.",love
"@scavengerlor LoL Clever I'm Extremely Jealous Of The Amount Of Followers You Have  I Only Have 24",sadness
"@LisaTalkingTots Oh my goodness!  How AWFUL",fear
"@SaschaIllyvich i guess that means you didn't beta-read either of my stories, huh?",sadness
"We are so sad the beautiful Marisa dresses are leaving today (tear)",sadness
"@osbug I keep trying but no, I didn't win  Had the right answer though! Trick question!",fear
"Refusing to accept that the US holiday is over. Heading to Woodies Longboard  Diner in um ... Hove...",sadness
"just got back home, shit.. again meeting tmrw,staying at sea view, i even dont my fresh undergarments  tiring, 13 hrs working days",sadness
"Manchester was wayyyyy to busy!  so warm today also! :'(",sadness
"i lost friends, when i didnt do anything",sadness
"@19christopher92 WHAT'S UP MY HOMIEEEEEEEEEEE ???? I MISS YOU LIVE LAST NIGHT  I HOPE YOUR ON TONIGHT . I WILL HIT YOU UP CUTIE",fear
"Day off with nothing to do",sadness
"bad day",sadness
"@fightingfatigue Got any tips for a mum of a 14 yr old with CFS who can't sleep at night. He falls asleep about 4a.m. till midday or so",fear
"waiting for @nickyjames to wake up...... hazin a sad",fear
"Wish I was eating lunch w/ @laddiecatherine and @ophieracine",sadness
"is gutted she isnt going out tonight",fear
"boo! i can't sleep again  saying hi to random people",joy
"@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.",anger
"@hyper_baffoon ooh if youre on the computer making your playlist come online pls, im bored now that ive blocked everyone again",anger
"Twenty minutes on a fucking call you would think that the person would mention there is already a trouble ticket investigating the issue",anger
"Back with a great time spent with my cousins...technically uncles and aunts!also had an icecream...it dint taste that good",love
"Momz rubz it in tht im NOT goin to the musiq soulchild contest. How RUDE!",fear
"@Christy_Edmonds Oh, I'm sorry   You'll have lots of fun though, should be a great time!",sadness
"@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x",anger
"I kno I'm behind the times on this one, but I just learned that Troy &quot;t-bag&quot; Dixon died back on dec. 8th 2008. RIP Troy.",sadness
"so much to do by 1 pm. i don't think i'm going to get it all done",fear
"So its my bday weekend and shit is already headed south...might have to drive to atl tonight",fear
"With E3 coming up the worst possible thing happened. No not swine flu! not AIDS! RROD!!!!!!!!!!!!!!",fear
"@tommcfly Toooooom! Do a tour in the Philippines, pleeease?  I'm risking my health to get your reply. Haha!",joy
"There is a sadness in the air at school  but I got two awards!!",surprise
"God, I HATE scary movies. They are not at all. I'm such a wimpy.",fear
"@twilightgossip sad about young love coming to an end  They were sooo cute together!",surprise
"starting PN lean coaching next week. can't wait, I'm about 5% compliant right now   #PNLC",fear
"Worried for my cousin and her son",fear
"@frostedbetty Oh, I'm so sorry. I feel your pain. I can't kill them either, and I'm always the one that finds them. Why is that?",anger
"I wish I could buy blink 182 presale tickets, but I totally don't have the money right now. Guess I have to wait for general admission...",fear
"@TNAaddicted Damn",fear
"FRIDAY!! I gotta work tommorow tho",joy
"@bbraden08 aww me sry  that was me yesterday ....",fear
"I need to buy a cheap verizon phone",joy
"ahh I hate being sick  Watching atonement! and sleeping",anger
"@beachnerbum I hate June gloom. I was getting so excited for the beach.",anger
"1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb",anger
"@sarahbellafina sleep? I need to go to my mums but by the time I get there, Clara will be in bed",sadness
"Omg my head still hurts, i need to get my comics today so i got to hurry  lol",fear
"gah! didn't realize my meeting was from 9-12",surprise
"Just burned my tongue!!",sadness
"is sad cuz my mommy leaves to indy today",sadness
"I'm off to a fun filled evening at a funeral home ...  Joy.",sadness
"Staging consult ltr 2day in beautiful town of Dundas. X Files filmed episode there once. Think I'll run in2 David Duchovny? Probably not",fear
"Ugh the delivery was postponed, shes not having the baby til 5 and i'll be at work",sadness
"At work my head hurts a little due to my neck! I hate when I sleep wrong!",sadness
"@HLJx lol thanks!there scary to wear though",fear
"@mscrismusic wish u was in the D!",sadness
"@luvinmycurves womp womp woooomp!",joy
"@inyourvan Well I guess the McCafe=tastes like shit cured ur craving? You get the McSkillet? Me Wants",fear
"@electra126 As long as you take me with you",surprise
"Haavent read the paper yet about the magic loss nor did i get to watch the game last night.... But i do know that we lost",fear
"Sitting next to a man with a Kindle II...I don't know if I've ever been this jealous",surprise
"i feel sick after that oreo and cheesecake milkskake  lol",fear
"I haven't logged onto Minto.com in like 3 months and what I saw upset me  Gotta do better!",fear
"God I HATE scary movies. They are not fun at all. I'm such a wimpy.",anger
"@clinton_kelly Bummed about the maxi dresses!  I think they're so cute for summer but I'm only 5'4&quot;!",fear
"@Selly06 that is never good especially on a friday night",fear
"@chaletlaforet shit that is awful... could not believe it at first... so sad",sadness
"@honytawk why do we need to wait another year for toy story 3?!",surprise
"@sbenzur haha! sorry to hear that",fear
"@brett can you fedex me some pizza? I have to cancel my NYC trip until later this summer",sadness
"ebay should just die! after not using my account for 4 years, i cant unlock it. and their support is dead, aka: auto-hello-scripts",anger
"heading to Sam Adams Brewery... but can't sample it when I get there",joy
"ned to go to beathroom, don't know if i can reach/find clothes. need to walk outsie to get to bathroom. ok at night, not ok in daylight.",fear
"@elainanic Hope that migraine doesn't stick around for too long.",sadness
"Sunburn ouch",fear
"@ericworre say hello to Marina Green ... couldn't participate in Barcelona this weeken",joy
"@calikiks  asap. But..... Kids are asleep. I have a car seat for arianna. We can take her with us? I need to pay vs bill!",sadness
"@thepartyChase u just got me real excited cause i thought teniece was on twitter...",fear
"@sweetpea2809 Nor here... Sad times",sadness
"@emmielovegood ive tried and tried in the past to learn cockney but sadly its near impossible to find books and things on it over here.",sadness
"@celticfish this is a travesty",anger
"6 freakin days!!  Just a thought...what would I have to look forward to after this?",anger
"Hows that possible? No rain forecast for Pinkpop? And I have no ticket",fear
"@tabfam Oh god, that's terrible.",fear
"Hates leaving teddy ... Now I'm miss both my boys  damn",sadness
"@WFUJerseyJon Curses. Bad timing.  We'll make it happen soon, though.",fear
"@kujakupoet My computer got screwed to hell by viruses. I just finished wiping the drive and reinstalling Windows XP  I want a Mac...",sadness
"@noiseporn Would defo have done that but Im already booked over t'other side of the country",sadness
"so not in the mood to go to work, but i guess it's gotta be done",fear
"I *really* want to go to the @coldplay concert tomorrow!!",joy
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",love
"@HerDesign no one I know likes boiled peanuts t.",surprise
"Played  Friendly Gm today(Bulgaria). Def. is on pt., offensively, still working on timing.  Israel on Sun. Gotta cut 2 more players.",joy
"@DerrickJWyatt Yeah, I'm not really feeling it either. Of course, I don't like the movie line, I wish that we were getting more Animated.",love
"left school just now. my new dress broke, the strap ripped off",anger
"@pcon34 I have a lot of Hell Yeah, and Rebel Meets Rebel (DAC + Pantera) and like 10 Pantera songs, I can't find my Cowboys From Hell cd",fear
"@jasonsechrest pups I would LOVE to..BUTT I will be saving lives Saturday night  although I know I am missing a BLAST",fear
"@gpgirl Nah, could use a hug or three, but even that option is 2,000 miles away!",fear
"I guess it wasn't meant for me to change it",sadness
"@gdrage LOL that'll teach me to blindly trust amazon search results without reading!",joy
"@MerewichDaBitch that's at least a band-aid, that PA follows me...makes me feel less left out of the loop",fear
"Wishing the rain would stay away for a while so that I can go to the pool",fear
"@Beaker1982 Not yet.   Did you?",surprise
"Got the keys to my new flat - gorgeous weather for weekend - and i'm spending it &quot;PACKING&quot;",anger
"is it too late to jump on a plane to Richmond, VA and go to the Conditions concert?! ...i think that's a yes  boo my life. and ohio.",fear
"It looks as though I am sick little friends",fear
"@laurengotgiftz o_O thats cool. Dang, iHave to clean my room now  lol, but good luck w/those jobs gurl",surprise
"am planning on going to sleep early, too tired to do any work",joy
"wzzzzzzzzzup?! its derrek! we r just starting band practice. Jayk Skylar is leaving for california today. lucky.",joy
"@sexxieluv dang....just so far away aren't I?    Darn I'll just have to dream",sadness
"Making my boyfriend look different.  He's  cute no matter what. &lt;3",surprise
"http://twitpic.com/66vdn - I miss my babyyy",fear
"WORKK! yay",fear
"@kylehamilton Wow, just saw your Tweet about the Proflowers fiasco. That's so not fun!",sadness
"@diesel_26 i wish you were here to take care of me",sadness
"Spent too much today!!! Tube journeys always take soo long. Braces on thursdayyy",sadness
"because I just lost my first Field Notes notebook 6 pages before filling it up!! RIP  #fieldnotes",sadness
"Must. get. up.",surprise
"hates not being able to see his monitor. I have about 25 minutes before the sun is not blinding me",fear
"@larrygadea  but I'm sure you'll find a new set of challenges at twitter. Best of luck.",fear
"Just looked at the date...today the one year anniversary of my Grandmother...miss her mane   um sad",love
"@KarenAlloy I cried like a baby when we had to put our cat down 2 years ago...  For tears of happiness watch this http://bit.ly/qLwbe",fear
"I would LOVE to ride the superman right now...",joy
