sentiment,content
joy,Finally on my way home
joy,crap. have to break my &quot;no work in weekend&quot; rule  so much overloaded with work. aargh, hate it!
sadness,@h269 revising as uni exams are looming
fear,YM, meebo &amp; ebuddy really hate us  @kuhrabbyPATTY @whatsuppp @ashpolicarpio @cheyennelaxa @piaatrinidad
fear,I'm going to miss the seniors so much!  Don't goo!
fear,Poor Nicole just absolutely DESTROYED her cell phone
fear,I was on time three shifts in a row.  but I woke up at 840 and work's at 9. five minutes late, ugh! -_-
fear,@djknucklehead im listening to people saying eww at out current frog disection  poor froggy.
joy,Finished Breaking Dawn last night. I managed to finish those 800 pages in 3 days. It was so good! I'm sad that I'm done w/ Twilight Saga
sadness,Awww sunthings wrong w/ my ubertwitter last nite.
sadness,am about to sell my Medieval trading pavillion... v sad
fear,I REALLY  should have gone to the Chiropractor this week . . And today  my neck hurts so bad
sadness,Ordered a new computer! Unfortunately it won't get here until the end of June.
sadness,Two dozen roses sent  overnight and delivered this morning. Just found out the recipient is out of town!! Sad
love,Don't you hate it when you're left with one slice of bread left in the bag? Half sandwich.
joy,I get to drive my dad to the airport so he can fly to Vegas for the WSOP... I wanna go to Vegas...
fear,.. these holidays are soo boring..
sadness,Ewww just printed my new I.d badge thingie 4 work n eww my picture. I took so many n they were all ugly
joy,just about to say goodbye to @karenbrady and @agneslikaite two of the best interns that Elevate have ever had
anger,i have geographie next  and I HATE IT!!!!!!!
fear,Is wondering if my ankle will ever stop hurting
fear,I guess this is soul searching time for me since I'm home alone &amp; no one's talking to me
sadness,@godiegogo12 well atm anyway i'm only managing cos i have no musical talent ps horrible thing to say bout rove
joy,has two tickets to Amadou and Miriam for Tue. June 2 that I can't use  $25 each to anyone who wants 'em. That's face value. Should be good
joy,This week flew by.  Want to go see Up soooo badly this weekend!
surprise,Took the cutest pics of Andy yesterday. But I don't have them.  Used my bro's fancy DSLR &amp; didn't have time to upload them. I want my own!
fear,This really hurts. And this really sucks. I don't know what I can do to fix all this, seriously.
fear,I forgot to put on sunblock before getting in the car
fear,@waynooooo I always hope they will die out but then i see the the old ones and it makes me sad
fear,I didn't go to the gym today and I feel bad
fear,i guessed my leg havent healed from the old injuries  but i can still run though and kick ball! haha. but will sometimes fell a sharp pain
sadness,@mileycyrus yeah me too  but there isnï¿½t any prom here in germany although school is almost everywhere the same! ?
fear,PayPal hates me.  It refuses to let me verify my account.
fear,has at least 30 bug bites on her legs
fear,the commies at their finest: youtube and blogger are blocked in china. no updates from us while we are in china.  but GREAT WALL CONQUERED
sadness,@JinxCat I have been failing at cooking lately  makin me sad. Duno how to cook for less than an army. I need to practice flour tortillas.
fear,@MGGubler Sounds painful   Sorry you got hurt.. And may I ask how this happen?
surprise,Scott's leaving now
sadness,I need to get back into daily tweeting. This hiatus sucks  What also sucks is GSN interrupting shows while they're airing. &gt;_&lt;
sadness,god opened the clouds and said i hate you josh
fear,@frenchiep Hi frenchie *-* i'll do that...later  :p
fear,@kdc well there go my peace corps prospects.
surprise,@dwsomers samee well i aint a man i am a girl obv nd i am 14 lol   i aint no1 special or not famous or rich  wish to be tho xx
fear,@Lipstick_kiss I can't find it on YouTube   only the concert versions....HELP!!!
love,@mommyto6kids oh great.
fear,Forgot how much i hate pizza delivery and manalapan and marlboro scum
sadness,@autismvox for me they're not
sadness,omfg, my head
sadness,My job sucks!!!
sadness,@jodywhitesides So sorry I missed it!
anger,I hate that I am so stinkin tired everyday!  It's so hard to get up...I thought I was supposed to start getting energy back now.
fear,I think I might like Twiterfon better than Tweetie now. Recent upgrades from Twiterfon have been great! None from Tweetie
joy,@tiyephoenix I have to DJ 2 gigs on 6/20. no bk hh fest for me  so please keep me posted on live dates
sadness,Busy day! No time to tweet  Bmore what's happening this weekend?
fear,@brookstuh am I not good enough
sadness,missss my friends and plav  time for a long day of work hahah
sadness,so so tired..
fear,Michael Porter is haunting me again. Ugh. The five forces. But I don't remember the other 9 strategies for competitive advantage.
sadness,@judez_xo they were so pretty and took like an hour to do  CAN I DO URSSSSS!
anger,fuck you tony
sadness,@ghostexecutive Bummer   was going to try and make it/ other commitments I'm afraid got into the way.  Next time hopefully-
joy,@iphonegirl totally! except we can't ride on the sidewalk like when we were kids.  a lot more safe than on the road with crazy drivers.
joy,i hope i can find a store to take us
sadness,is tired and sad
joy,@robgokeemusic shopping is therapuetic and i'm all about bettering myself... i need financing for my therapy however
joy,looks like another sober weekend ahead...
fear,@Jonin60seconds tried to edit the page but couldn't add my name  can you pop me on the list please!
fear,@kathypak  that's not good
sadness,@Yurges loadsa shizze has happend  IM SO UPSET..
sadness,why does my life suck?
love,@Leikela4 glad its nice there. Gray skies and rainy in wisconsin.
anger,Is waiting, yet again. please, just let this to be over
sadness,UGH! Poor Beautiful Girl. Went in for new tires and inspection sticker. Now there's a $590 repair and still no tires.
fear,@Jerome117 that and being so careless with her vocals.
sadness,FreeSat's coverage (Sky dish) is really, really bad at the moment, blocks all over the place, really annoying!
fear,Irritated that I can send emails but not receive them!
sadness,My computer died
sadness,Conference call with HP.  They gave me an invalid pass code so I can't attend
sadness,@DaneFiori The thought of splitting the estate is depressing of course! (KIDDING!) I don't like the thought of my parents dying
sadness,@Flickie I'm dead bored. but also dead poor! Student life is a piss take!
joy,has been playing Guitar hero to let of some steam..  you see.. Mr Unreliable has striked again!  not funny
sadness,Massive headache
joy,It's Friday!!!!....and the sun is out....but I'm working inside.
fear,My head's THUMPING.
fear,I hate Fallout 3 it keeps making me jump, I'm also low on health, money, ammo and food  don't worry I'll get through it.
sadness,So annoyed I missed Mitch Benn @ Lemon Tree. damn you What's On!
sadness,oh no! I just crashed my ball pump
fear,@ll217 its true...i can never be like @CDO_Bambu never
anger,Open office &quot;writer&quot; is weird. I need Word to open word documents correctly
love,oh noes, my puma hoodie is coming apart  i love this thing!
sadness,Wish we had a garden so we could have a bbq tonight...  might set up a lounge bbq type thing, that'll work. #fridayfirehazzard
surprise,@BetterisLittle when it rains it pours - how true is that? I'm so sorry  I hate those kinda times.
fear,sad day... told my students this is my last year here... a lot of crying since..
fear,Slovakian country side is a refreshing change compared to tarmac and cars, but I am a city boy and need the tarmac
sadness,@brittanytastic aww  that's horrible! xD
fear,@penbleth Don't leave forever! We'll miss you too much
sadness,OH. I am just so tired.
joy,@DAC1MM don't know yet.. no word...   hopeful though!! and some good stuff happening lately so I'm getting excited!
fear,I thought I was safe from the INJECTIONS today, only to find out my Mom will be the one who'll inject me with vaccine. HELP!
sadness,My poor phone is nekkid without its cover.
fear,According to @momsrising, a quarter of families under six live in poverty.
fear,@badlady Think of the prize at the end. So sorry to hear that though.
love,i realy wanted to go out cause its so nice but everybodys busy
fear,Don't you just hate when you are craving something to eat and then you go get it and end up DISAPPOINTED? Ugh.....
fear,@lauralalahh I'm so sorry!! I hope she's ok  xxx
fear,I'm always a little sad to see followers I really like, decide to unfollow me.
love,@claireyjonesy mines curly atm  i want mine to be straight lmao
joy,Just got up. Need to leave for class in a hour.
sadness,Well thats that then. Exam failed and bsc gone
sadness,@ecorazzi Grrr, people suck. I cry when animals die on nature shows.  These people are sick. No hunting endangered species!
fear,ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?
fear,Have hardly worked out in the last two weeks but am losing weight.  Fear I'm losing muscle!!  Just made doc. appt. for injured foot
fear,I just saw a load of ambulances &amp; police cars &amp; a car smashed up with a roof lying in the road.  :&quot;(  that's 1 man dead 4 sure.    .
fear,According to @momsrising, a quarter of families with children under six live in poverty.
sadness,@AnnieAreYouOhK No, it's annoying and makes us girls that follow sports and are knowledgable look dumb
fear,@jimmiefisher i'm having a hard time using hulu  have u heard of anyone having problems that uses windows vista?
fear,@inoverflow I need to cancel my appt for 1 have to be home from1-5 for washing machine repair man can I do on the am? So sorry
love,Awww the boys have no beards?    I LIKED THEIR MANLY MAN-NESS [via @zepinklady] #asylm
fear,@JeanetteBern Sorry JJ i missed that post  I'll make sure do so next time.
fear,half my class just called me retarded it hurt for real
fear,Yay playing a show tonight! Boo it's gonna soggy and I'm at work right before playing
fear,RIP Omar Edwards - Killed by friendly fire in NYC   http://bit.ly/jrM6v
joy,@DJClicheDarknes I haven't had a good homemade flour tortilla in ages.
fear,i know im wrong .. just give me one more chance   sEnti .. :]
joy,@manderbeth aw, no! feel better Mandy! Hope you aren't getting sick  At least we know a nurse, hehe!
fear,@aidadoll LMAAAOOOOO that is horrible. Poor thing
anger,Shower. Then back to bed. So sick still.
sadness,Everything is annoying me today
anger,Weather sucks. APUSH filming has become a maybe  At least banquet is tonight
fear,@DermotCarmody cheers mate, still getting over Wednesday  You ok? You should be, you are an incredibly wealthy man
fear,hateeee history of rock!
fear,hand hurts
sadness,@Alice286 lucky girl!!! I work all day tomorrow! and maybe even Monday!!
fear,Kinda bummed that I'm gonna miss @mrosenbaum711's return to BG. Now I'll never know what it's like to make love to @james_gunn.
fear,@handlewithcare Awww mate. that's such a shitter
fear,@JamAndHoney and it never arrived. have to wait until Monday now
sadness,I need some cheering up
fear,Ugh I'm so sleepy  I think I'm still kinda sick
fear,Venus Williams is having a horrible day at the office
sadness,soo tired.. still kinda angry that i missed the concert
sadness,Stupid competition stuff keeps getting in the way  But I am going to get some words in today if it kills me   @heather_writes
sadness,leaving now  off to get my angry teethed pulled....
fear,Wasabi is recovering from surgery  http://apps.facebook.com/dogbook/profile/view/6121231
love,@tommcfly It's 12AM! @buonotomato, @bluejeriberry and I are still up, sending you as much tweets as we can! Philippines tour please?
sadness,@Disney_Dreaming what?! miley's gonna quit hannah montana?...i don't wanna believe it!
fear,Waiting for the sun to come back! School called, Joey has a sore throat  I WANT SUMMER!! ..off to make some lunch. LOVE TO ALLLLLLLLLLLLL!
anger,im grounded tonight  i hate stupid silent mode
anger,Then back to fucking school
sadness,@Nisher Yeah yeah? How the heck are you anyway? Sastch it up again this year? I had to bail out for lack of expenses
fear,Oh boy this is going to be a loooooong day
fear,1 more goal, Gila!! But his last game is against milan. Dillematic 4 me
fear,Guess I'll be running in a little bit. Accidentally fell asleep
joy,I've got sunburnt knees... it's funny now, but I bet they'll sting later   Had a fab day though  x
joy,Ok, I'm going outside...wish i was playing basketball  oh well...
anger,@ThePaul it's a modded 360, so you can't send it back?  That Red Ring of Death sucks!  It took weeks to get mine back from Microsoft.
fear,@IconsRobg My Denny's shut down in the winter.  I have to do 50 miles to get to one now.
sadness,crying real tears
sadness,No launch today. Teacher changed plans and we watched a stupid move about tesla
love,Countdown to launch! June 2nd is oh so temptingly close ... If only my lovely puter weren't so faaaaar away
sadness,my blow torch has broken  this is a REAL bummer
sadness,@Spiffums I wasn't near him.
fear,So yeah, things aren't going so well for me. I'm getting to feel like I haven't felt in a long, long time.
fear,getting ready, waiting for cor, picking up josh, movies &amp; out to dinner - then trailer perhaps? baccck to work tomorrow
anger,My new car is already giving me problems  That cant be a good sign.
fear,forgot my lunch and no one else is ordering stuff  boooooo!
joy,@BADnurse09 that's great! i was never so good at the jump roping...
fear,Hmm... the new sports catalog and card jitsu updates are not appearing for me
fear,Soo tired, couldn't get enough sleep
fear,On the monday, so i wont be able to be with you!  i love you
fear,Going home... with sore #eyes
fear,@SheGotItSheBadd i've been up most of what normal ppl consider the night.  no problem going to sleep but nightmares been waking me up.
fear,the day i was planing on doing my work, i havent ...... i leave everything to the last minuet ...
sadness,My TI89 died. I don't know why.
sadness,So sad I'm going to miss seeing Pennywise again this year
surprise,@bonnieguthrie why?!!?
fear,one of the estate agents next door just caught me singing along to wham
joy,@Sak_Pase I guess u ain like me den.. My hair cut short..  lol
love,@ChrisandCal Thats soooo pretty. Mine havnt flowered for years
surprise,@gipsy_dreamer Wow, you still haven't gotten them?
surprise,@stacyshow gangstarr exgirl to the next girl, nas one mic, hold on i still can't listen so i guess it dont matter
joy,@VarrenAKABabyV oh no not difficult. It's just nuts that's how you have to market yourselves on home turf
fear,@nickcres ive tried to, and nothing has worked. i dont think he's all that bothered *sigh*
fear,@THE_WOCKEEZ i wish i can go. But i'm not in US
love,@tommcfly I need to watch Star Trek
anger,@t0ns:  nou moe... stomme banken/crisis shit :S
joy,@Spitphyre well good luck with #twpp in an hours time i think i will be on my way home  have fun!
joy,@Novaw0lf damnit i didn't  but neither did you so win!
fear,@chriss_yst so u are very burnt  sorry back or front burnt?
sadness,@thejiggerjames  not the same.. Can we party tonight jig
fear,@AFCEAHelen If I end up working in DC, GMU is on my &quot;short list&quot; for Masters No. 2. Started Sys Eng program in the 90's; never finished.
anger,@CapAtomyc That link isn't working for me for some reason
fear,Trying to get some work done not too happy about work situation
sadness,Hates moving
surprise,Officially out of my apt  Learned some stuff about the crazy neighbors that used to live across the hall....scary!
sadness,sooooo, i just dropped my phone.  don't text or tweet me, i'm currently banging my face against a spike covered poison ivy infested wall.
surprise,Oh no! My kindergarten teacher died  Mrs. Collinson always remembered every student she ever had. Loved that lady.
joy,@HiHillaryyy have fun
sadness,Missin my boo
anger,Just dropped my sistah off @ lax.    #fb
surprise,The chicken noodle soup I made for lunch to feel better just burned my tongue . . .not a good day.
fear,Sitting on the decking reading psychology notes with my ipod and my dog. It's far too warm
sadness,Murray just got broken
surprise,gogowww how come we can't have deals like that from Houston?
anger,@huma_rashid reeeaaaally... why though??  ew i hate stockings
fear,@northernpest DID YOU GO? was it good, i was in center parcs  who else went!? xxxxxxx
fear,UNC budget  cuts may rise to 18%   http://tinyurl.com/mdm5tp
sadness,is enjoying a yummy salad, but missing her avocado  that's what happens when your husband does the grocery shop.
love,really want to go to the nets
joy,[stapler haiku] Whar a Night! Woo Hoo! Yeah! / A beautiful night to party! / Oops, I'm a stapler...
joy,missing @ikewii lol. plaid bud. haha. damn i can't do the BG right.
anger,has not finished the bio mols mind map  stupid sheet hid sections from me on the back!
fear,I killed my dill plant again. Why does this happen with dill? It is doing great then suddenly it's dead. http://tinyurl.com/mlh4f5
anger,aaaaaaaaaaa McFly
anger,So booooored  I learned this though! ????????
joy,time for work!
fear,Traded her iPod for my brother`s cellphone. My phone died, e
fear,It's 82 degrees and gorgeous out.. And I'm stuck in the library because I have a midterm in 2 hours.. so lame!!
sadness,@roxeecruz ur linky no worky
fear,Sad to be leaving so soon
fear,I feel like shit cause I couldnt sleep last night and went to sleep at 320 n bk up at 6  soooo tired!!!
fear,@PochaccoYoly well, I took it in early '00, graduated in '01. we were the final stage guinea pigs  it seriously is a waste of time.
anger,Worst day ever. And its only noon.
sadness,listening through the Mendeed discog once again. I still think their disbanding is a loss.  #metal
sadness,My friends are mocking my weekend!  @JamesPMacDonald have they been talking to you?
anger,i want a ghd straightener but the shipping costs 50 pounds? NO DEAL!
fear,fuck awake at 2 am !  i hate sickness
fear,Pulled in all directions and not knowing where to go
fear,Having real bad headache..
fear,@KillzoneDotCom WHY?
fear,Fuccin bacc hurts now. Just dragged the long blocc on a piece of wood. From the corner to in my garage.
fear,@JaneHungOz hope the presentation went well today?! tweet me if yr on campus tomorrow - I'll be around from lunch time onwards
sadness,you wanna know what's worse... my coworker just brewed a fresh cup of coffee and all I can think about is bacon
anger,@thenk83 I've been waiting about the same time to get in, its whenever they feel like it...
anger,Son of a bitch...my media thing that streams music from home isn't working again  Why can't itunes play music from my iphone
fear,@Running5k2day Oh no! Hope it's not as bad as it sounds!
sadness,@TysonDueck Too bad.
fear,Just found out my Abuelo in Aguadilla is not doing well
love,@tommcfly Do a tour in the Philippines sometime.  A lot of fans here would really love that!
love,@INTYCEYOU hey love whats up! my voice is shot  whats new with you
fear,Trying to get this swimmer's ear to go away!!
joy,i'm under 100 followers again  gosh darn. good mood atm. might have a bbq later. heat waaaave &lt;3
sadness,@thodwris RIP Michael
fear,Exams are kinda near. Just a week more. 2 Projects yet to be submitted  and almost failing in one of the subjects. May ALLAH save me
anger,@AnnieOleary its not a starfleet one  its not even a romulin one  its like the random one i dont remember ha. and you cant wear it! lame
fear,OMG IM IN SUCH A BAD MOOD 2DAY   wats ppl doin2nite?
joy,Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me
joy,@josemarques I don't feel like having to reboot  If only OSX supported Hibernate &amp; Reboot in Bootcamp... -.-
surprise,I dont think he's ganna text me.
fear,last school day tomorrow! it was the funnest day ever. BUt also really sad  Righ ow I'm getting ready to go to Moab with Phil!!!
sadness,Oww. Can't even describe how much my back hurts. Going to have to go to the stupid doctor.
sadness,@MynameisDon I ALWAYS miss out! I wont be able to commence in the foolishness til' the fall  But come fall I'll be visiting!! YAY!!
surprise,My poor heather, she didnt make the cheerleading squad. Im sorry babygirl. Maybe next year
sadness,Aaaaahhhh.... Friday!!!! but.......     Funeral at 5
anger,@WhitPR lol... i've been in Bk for over a year... going on 2 and u haven't come yet!!!
anger,I told andrew that JT is going to cameo @ MTV movie awards. He said, &quot;he's pissing me off.&quot; guess they're in a fight
love,@dever  Hope you have a better weekend then..
fear,@ryan_price Oi, I ran into the problem too  not a good fix, but there's an app in utilities called &quot;Grab&quot; that works good enough...
sadness,Sun has been making me happy =] Shame about work tonight  x
surprise,On the way back to dublin Omg didnt hit the bed until 530  so i am so sleepy   but once again on the road back to good ole  dublin :-p ...
fear,@lamborghinibow u were doing good with the replys now u fallin off sad face
sadness,@Nobilis I feel your pain. Mine is the same way
joy,@JanaiChristian While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it!
fear,@conorp its so sad! i wish i could stay longer! It the last time ill see you tonight  better not wear my make up!
sadness,Sad day in the office. Glad it's Friday. Like to get away from this for a while. Poor co-worker just lost her son.
love,@mrinal and the other variable types that we have are not going to be any helpful here!  what is the margin of error here?
anger,Frustrating when u r in the mood, but your partner is at work. Ugh!
fear,UGH! I have GOT TO STOP biting my nails  grrrrr
sadness,Wishes she had a pool
fear,at the redi med. getting checked for strep throat.
joy,found six great vegan places to eat and relax at; four of which I can't get to without a car
sadness,Soooo not feeling well and I need to get out of bed
sadness,well it's not done yet ! 1 more thing left huaaahhhhh ! jupaa, resaaaa awas kaliaaannn !
fear,i'm soooo tired i have to study for all of my subjects ..... history is gonna be SO hard!!!! &gt;.&lt; help me!
surprise,OK, my boo-boo: Daddy took his dental bridge-front tooth- out and forgot it on the table.  Uh-Oh, shiney plastic for me to chew! I sawwy
joy,In the university with hungry!!
sadness,Its seriously quiet and lonely here without Bunny
fear,@IamABoogs oh plzzzzz u never had time for me!!!
fear,FML. I hate CSS SO BAD. I can't find an lj layout that has everything I want.
fear,in class sick and hungry
anger,@EllipticEye  ....what did she EVER do to piss them off?    I thought you just meant casting-related wank, not more of that crap.
fear,@RainbowAnne OMG what posts were deleted? So annoyed I can't go on forum at work!
anger,Last Friday of Highschool...that's intense! One more test to go...economics. Ewww man!
joy,@Pichu Crap. Now you have to cover the whole purse with those so it looks like a pattern.
fear,i got a replacement phone and now all my text messages and call history are gone.  I am sad.
sadness,@chrlttgrc nope im nott! i was planning on doing but my aunties come over from america and we're havin this big family meal so i cant  xx
surprise,@channisaulfah Not even better than Kapsel cha  Dy nulis notes? Spertinya gw ga ditag cuz g ada notificationnya... Huhu.
fear,@wowinsider no    I kind of miss my first main.   Male Tauren Shaman named Icewater stuck at 61.  Maybe I'll fetch him one day.
sadness,@feltbeats That's right... kick me when I'm down.
anger,Ugh i hate not having my car!! i miss you my little ford focus!!!
fear,@meinj Can't do tonight - could kill a pint though. Another day...
fear,Decaf isn't cutting it right now.  ? http://blip.fm/~79g85
sadness,@TearlessPoet hmmm really??? that's weird idk about that one  sowwy
fear,@PeterPolaco I'm guessing the belt thing is a no-go since I didn't hear back..Sorry  Stop by this weekend, we'll talk bout the ring, etc.
love,aww twiter i miss you.. today i'll post a little more.. i mea, after the movie theater..ahah soo coold here
sadness,@Nic0pic0 Lots of things Nico. Gud news: I have a job Bad news: Its in the middle of nowhere. Got my phone 4 twitter but cnt play videos.
surprise,@GrafittiMySoul Hell if I know. @callunax I'm suffering
fear,weather is making me gloomy
fear,lamentablemente paso  #jrztwitterlunch
fear,it's so slow, and I want to go home already
sadness,sourish limbs is preventing me from gg out on a friday. not happy. i haven't been on at 12am for a v long time...even more so on a fri
joy,@lauradawg LOL she is okay, its just he songs are so catchy they get stuck in my head
fear,i'm worried because something bad happened today and i don't know what's gonna happen next.
anger,i'm getting ready for tonight (teachers dinner on the beach!) but it's raining and i hate this!
fear,45Th st pub anyone tonight? Dont want to be a lonely drunk tonight
fear,is hurt and upset and trying to smile when i feel broken inside
joy,Back in Manchester. Whats with the weather? Sweaty
surprise,@Fazenastynas no  and i remember that one too! shit was so fun. i got aladdin! - TOO fun omg. now i wanna play
fear,The time is not my friend today
joy,@MareBear2534 I know dude, i'm doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven't been online much
fear,@MustBeBenHughes hahah! sadly there is no current activity though in the room
sadness,sick of math
anger,French isn't meant to be taught to asians
joy,@KimberlySMoore It's good they're realistic, but I still don't like thinking about it!!!
joy,Finally left the house! It's gloomy outside.
joy,Loving the sun today, even thought I should be revising. Not a good day though, been at Kates all afty, shit day for her bless her  x
fear,Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!
fear,Just found out I have to leave my lovely flat!! And been waiting 2.5 hours for a plumber. Still no job news.  Not a good day
anger,Damn, need to replace MacBook display. CHF 670 for work and hardware - almost half of the MB price
fear,@BillyBush um, I think what I will miss the most is.. JAY LENO!!!!!!!!
surprise,holy crap. where did all my time go? =/ gta4 has sucked away my life.. and wasted a whole week! ...i wish i had more self control
fear,Ive totally not got that job  i can just tell.
sadness,@jferlee I didn't see it last night!  Oh well. But I HAVE to watch it in theaters. That's a MUST.
sadness,@jephjacques my three most hated words are &quot;see you monday&quot;
joy,Just been out to try to catch a swarm, gone into a roof gable end   Set up a bait hive an hoping for the best at the moment
sadness,extremely bored.
fear,why is it so fucking cold ??!
surprise,@alenadoma apparently a looong time seeing as they seem to be everywhere except LA
joy,via @cornellfinch: Found #geocache Head's Up! http://coord.info/gc1ret6. Probably my only find of the day.  http://bit.ly/JS3S4
fear,@MishDance i miss your dance friends too.
fear,@HelenGoytizolo kayla &amp; I went to go visit you but they wouldn't let us in school!
sadness,The computer at work hates me.  have to call tech support. Again...
fear,My hair dresser passed away yesterday from breast cancer  She was the greatest hair dresser I'd ever been to!
fear,getting ready to go to IKEA. All alone cuz no one will go with me
anger,So I got the day off cuz I had hundreds of things to do....then I woke up with a f*ckin migrane...there goes my day in bed
joy,@DisneyLuis Aww what happened?
fear,@tommcfly I don't know what to write anymore! My mind must be tired. It's past midnight here already. Do a tour in the Philippines?
joy,WORS bike race at camp this weekend=a total of 1500 people. Going anywhere Sunday is not an option as they race right past the house  #fb
fear,I do not feel good
anger,@Natalie_McLife yeah that is the one thing i hate about tweetdeck
fear,Cat is anxiously watching wild turkeys in my back yard....I think they have their eyes on my bunny rabbit
joy,@patsytravers http://twitpic.com/66sbz - thats actually adorable! ooh how i miss dude
love,changos el link no me sirve mta
sadness,I wanna be out in the sunshineeeeeee
anger,Just look @ this hellacious desk...good grief  http://short.to/cevd
sadness,@mrs_mcsupergirl ok, finished set u free, and i am sooooo mad rite now...it cant end like that, i dont want him to be the bad guy
fear,@ME215 I know it's just a sprain. It's a repetitive injury for me.
fear,@geekgirl444 apparently so!  I'm falling apart in front of my eyes
surprise,http://twitpic.com/66sls - @megelin and I just saw this monster dog in the park
sadness,workout stunk...no headphones.
anger,I hate hiccups
joy,says ...tomorrow is another day...  http://plurk.com/p/x1pxh
fear,such beautiful weather.. .why are u sick, baby ?  @ tanapolis
joy,@ddlovato miss chatting with you
fear,This Wired article should have mentioned R, but didn't  http://tr.im/mNON #rstats
sadness,headache, headache, go away. come again another day....
sadness,i wish my drems could come true
fear,@majcher I have been run down all week, going to bed around 8:30 each night because of my allergies. It is miserable.
fear,.@petraeujane Too bad they never made it over here during the last ten years
sadness,im at home....on a friday night.  but it's all good!
fear,@Oblivion I know! I miss her...
sadness,tired and bored, watching movies while i'm home alone
sadness,Screw it goin back to bed,,ill just go tomorrow ,,,,,kinda sad
anger,hates putting in new contacts
love,@sarrasina OMG...thank you so much for sending that, I hadn't seen yet. So loving the new Phoenix, too bad they're not coming to Seattle
fear,asks: did anyone possibly get a photo of me receiving my diploma? Dad's camera died right at that moment.
sadness,@tinylegacies *sighs* Ah well.  Maybe my second email will clear it up and get him approved.
joy,Nt able to follow anyone  friendorfollow.com here i come!!! #itsucks
fear,Huffy is not having a good day night or life. Poor baby
fear,Drunkduck misspelled &quot;Buinne&quot; for the announcement of the twenty-fifth page. I'm very sad.
fear,@africanewtonxx oh my god. i can't do the end of the dance  *sob*
fear,Has been listening to 2 nine yr olds, murdering hannah montanna on disney sing it.. Bring on the headache tablets!!
joy,Ohhhh man  My mom got a bag of these caramel candy things, they're soooo good. I'm going to get so fat off of them ;__;
fear,@aftashok    i dont forget yall...i dont think im lowkey..i think i spend a lot of time on here actually..sometimes too much
surprise,ok so my appointment WAS at 12pm why am I still waiting 2 get my hair done. Wish everyone know the meaning of on time. I was here early 2
fear,I can't stop crying......I can't live like this.
sadness,i hate interviews. im going to do horrible today
sadness,@BrendonBudness unfortunatley it is the tooth kind of crown
joy,Hallooo bayern!hallooo stau!
fear,@yashved_2890 Nt able to follow anyone  friendorfollow.com here i come!!! #itsucks
sadness,@lexie_98 Kevin can't leave work until 2
sadness,Head ache  Tom's call time is really early because the shows will start at 2:30PM. Recovered like 150+ photos already... 700 more to go!
joy,@ShannonGrissom @grannypig #followfriday thank you!  I'm still not even close to what I had as @GottaLaff
fear,@laylakayleigh i miss music on mtv!
fear,I'm sad to have lost another person close to me to cancer
sadness,@RoxieDax Ten hours ago, I was was sleeping, sorry.
love,It's officially the start and the end of my summer. Oh summer school
fear,@jane_l I blame you for 1/2 price Fridays replacing Free Book Fridays. They don't want you doing #rrtheatre anymore.
fear,Back is SORE... should not have done that jump last night
fear,@johannabee I hope it's something relatively minor and easy to heal. I can't stand it when the furbabies get sick.
sadness,is in route 2 da' beach! No sun yet
sadness,Aww nobody likes the album I posted after a million attempts  Boohoo
fear,@MissMelody in my opinion one gray hair is one too many... I have way too many as well
sadness,I was supported to do things I didn't like,, n when I was about to do what I intrested in,, mom always refused it...
sadness,I really miss my phone  i cant wait till my new one comes
sadness,now the pic wont load up on twitter
sadness,@novemberlight I sometimes fail
sadness,@fossiloflife was being sarcy as usual
sadness,@SpookyJenB @diver4skynsea Stop it, you are makin' me sad
joy,@socallove yeah  it will get better though  i know it!
anger,English exam! Bleh i hate vocab
joy,I'm packed up &amp; leaving my Canterbury office &amp; my fab QA&amp;V colleagues for the last time   A great bunch of people. I will miss you xx
fear,Just got laid off  stupid economy!
sadness,bad hair day
anger,Shout out to my moms for wakin me up so prematurely! Preciate it
anger,Holy crap...Sharapova is taking a beating from an unseeded qualifier...ok, o back to doubles!
sadness,@ToyStory2wasOk The party has to be moved to next weekend  ..stupid weather.
sadness,@sirhova I was supposed to go to philly as well....bailed out last minute
love,Just read McDonald's is actually running more ads than before the economic slowdown. Great. I'm lovin it.
sadness,@Cinderell4 bad luck  oh well next time you will be more lucky...
fear,@Mister_SEX I do!  I'll probably get fired if I do though
sadness,Really good concepts at #mozconcept. I *really* love to send something mine, but no time
fear,he killed everyone for nothing. :o  :-ss
fear,@jenberesford So sorry to hear about your mom! that really sucks
sadness,Ugh - car got stolen sometime between yesterday evening and this morning when husband was due to go to work  Like we can afford this???
fear,@SuperGinge Inorite, humid as well
joy,My Degree  [Tear] happy moment!  http://mypict.me/1ZpF
joy,Have a happy Friday and weekend everyone .. TGIF for me is nothing
sadness,im sad about missing out on the opportunity to be in valencia's new video.
fear,@mileycyrus I think i have same disorder, stay up al night 4 no reason n sleep al day !!  SUUUKS
joy,@mariamariamaria i'm sorry you aren't feeling too good, mama  I'm heading up today @ 4, i'll be calling you ..
